,reaction,Unnamed: 0,dG,dG_std,ddG0,dG_prime,lower_bound,upper_bound,sign,direction
193,R01281,193,-34.82044096,8.971765555,39.36728389,4.546842928999999,-22.36845374,31.46213959,-703.7594138999999,0
194,R01280,194,43.66367307,6.322825967999999,-40.95962244,2.704050633,-16.26442727,21.67252854,-352.4912642,0
195,R01283,195,44.7776566,9.471685891,-42.40129556,2.376361047,-26.03869663,30.79141872,-801.7684107000001,0
196,R06486,196,-23.02216999,8.456892381,-2.894085493,-25.91625548,-51.28693262,-0.545578337,27.98103941,0
197,R06487,197,1.526307368,116.360003,-2.8940831439999997,-1.367775776,-350.4477848,347.7122332,-121854.9819,0
198,R06484,198,-32.69702054,116.5825885,-2.894085459,-35.59110599,-385.3388715,314.15665950000005,-121056.7726,0
199,R06485,199,-11.33643755,6.348506117,-2.8940831439999997,-14.23052069,-33.27603904,4.8149976610000005,-160.2240501,0
200,R06482,200,-1130.808773,195.959838,955.3773525,-175.4314203,-763.3109343,412.4480937,-314826.1398,0
201,R06483,201,-1179.893359,196.3646979,955.3773526000001,-224.51600679999999,-813.6101005,364.5780869,-296624.4139,0
202,R06480,202,-1123.525331,196.079353,955.3844417000001,-168.1408889,-756.3789479,420.0971701,-317752.6555,0
203,R06481,203,-1172.609917,196.45243159999998,955.3844417000001,-217.2254755,-806.5827703,372.1318193,-300155.1137,0
204,R06488,204,-35.8849149,116.4880502,-2.894085459,-38.77900036,-388.24315099999995,310.6851502,-120621.3817,0
205,R02396,205,-1.858776094,6.371997745,-0.031464775,-1.890240869,-21.0062341,17.22575237,-361.8481868,0
206,R02397,206,-441.3079879,10.93639119,-0.040881744,-441.34886969999997,-474.15804330000003,-408.5396961,193712.3829,2
207,R02394,207,-306.6379437,498.11576950000006,0.022039292000000002,-306.6159044,-1800.963213,1187.7314039999999,-2139060.566,0
208,R02393,208,125.1131226,249.10097119999998,-44.80645422,80.30666843,-666.9962452000001,827.609582,-552012.4837,0
209,R02398,209,-57.24939767,8.943247742,39.93854545,-17.31085223,-44.14059546,9.518890996,-420.1695166,0
210,R10089,210,-227.20157749999998,118.5046958,-42.68730177,-269.8888793,-625.4029667000001,85.6252081,-53550.25917,0
211,R00880,211,123.88326359999999,6.345659142000001,-128.3138235,-4.430559885,-23.46753731,14.60641754,-342.7766486,0
212,R00881,212,65.67894215,6.316121397000001,-83.85697549,-18.17803333,-37.12639752,0.7703308609999999,-28.59960977,0
213,R00883,213,-0.930185954,6.299444928,1.7282303959999998,0.798044442,-18.10029034,19.69637923,-356.51018270000003,0
214,R05618,214,8.847132377000001,127.73456110000001,-40.67646374,-31.82933136,-415.03301469999997,351.37435189999997,-145831.9566,0
215,R00888,215,-45.36121591,6.348471907,-6.61e-05,-45.36128199,-64.40669771,-26.31586627,1694.9180440000002,2
216,R00889,216,1.860371908,6.313677847999999,0.0,1.860371908,-17.08066164,20.80140545,-355.30176810000006,0
217,R05614,217,243.60020719999997,240.8138734,1.331945158,244.9321524,-477.50946780000004,967.3737725999999,-461930.1353,0
218,R05615,218,-29.15561355,7.2378211320000005,-42.85969308,-72.01530663,-93.72877003,-50.30184323,4714.729896,2
219,R05610,219,-35.18562276,12.76623511,-3.06e-05,-35.18565338,-73.48435871,3.11305195,-228.76062620000002,0
220,R05611,220,35.33715181,116.28617679999999,42.85218862,78.18934043,-270.66919,427.04787080000006,-115588.7013,0
221,R10768,221,54.3425046,6.373347397000001,-80.79420661,-26.451702,-45.57174419,-7.331659809,334.1165253,0
222,R10769,222,41.79774482,8.183373375,-40.90025692,0.8974879020000001,-23.65263222,25.44760803,-601.9029136,0
223,R10765,223,1.246964255,6.3093752510000005,-0.0030775629999999997,1.243886692,-17.68423906,20.17201245,-356.72669039999994,0
224,R10767,224,53.41231865,6.369063231,-80.73022612,-27.31790747,-46.42509716,-8.210717777000001,381.18337060000005,0
225,R10760,225,15.10131765,6.337456876,2.394082199,17.49539985,-1.5169707780000001,36.50777048,-55.38122099,0
226,R10762,226,62.11441432,381.70529260000006,-42.85219119,19.26222313,-1125.8536550000001,1164.378101,-1310919.34,0
227,R10763,227,41.69589448,279.83275469999995,-42.85219119,-1.156296714,-840.6545607999999,838.3419673999999,-704755.9984,0
228,R00088,228,-63.56177932,6.476697012000001,39.90167741,-23.66010191,-43.09019295,-4.2300108739999995,182.2719847,0
229,R00080,229,-834.7084539,747.9315007,0.07396977,-834.6344841,-3078.428986,1409.160018,-4337999.046,0
230,R00084,230,-248.7802981,417.5086208,-39.02606708,-287.80636519999996,-1540.332228,964.7194972000001,-1485988.532,0
231,R00085,231,86.18565813,6.338743417000001,-121.79099450000001,-35.60533635,-54.621566599999994,-16.5891061,906.1229636,0
232,R08620,232,7.501412506,6.330374112,0.003284418,7.504696924,-11.48642541,26.49581926,-304.3422517,0
233,R09834,233,-8.233859804,6.657790703,-4.73221195,-12.96607175,-32.93944386,7.007300358999999,-230.8165768,0
